"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:2000469"	"negative regulation of peroxidase activity"	"BP"	1	1	0.184735157159488
"GO:0010900"	"negative regulation of phosphatidylcholine catabolic process"	"BP"	1	1	0.184735157159488
"GO:2000041"	"negative regulation of planar cell polarity pathway involved in axis elongation"	"BP"	1	1	0.184735157159488
"GO:0002737"	"negative regulation of plasmacytoid dendritic cell cytokine production"	"BP"	1	1	0.184735157159488
"GO:1904246"	"negative regulation of polynucleotide adenylyltransferase activity"	"BP"	1	1	0.184735157159488
"GO:1901630"	"negative regulation of presynaptic membrane organization"	"BP"	1	1	0.184735157159488
"GO:1902283"	"negative regulation of primary amine oxidase activity"	"BP"	1	1	0.184735157159488
"GO:1902721"	"negative regulation of prolactin secretion"	"BP"	1	1	0.184735157159488
"GO:1905872"	"negative regulation of protein localization to cell leading edge"	"BP"	1	1	0.184735157159488
"GO:1903217"	"negative regulation of protein processing involved in protein targeting to mitochondrion"	"BP"	1	1	0.184735157159488
"GO:1904476"	"negative regulation of Ras GTPase binding"	"BP"	1	1	0.184735157159488
"GO:1900134"	"negative regulation of renin secretion into blood stream"	"BP"	1	1	0.184735157159488
"GO:2001107"	"negative regulation of Rho guanyl-nucleotide exchange factor activity"	"BP"	1	1	0.184735157159488
"GO:1905215"	"negative regulation of RNA binding"	"BP"	1	1	0.184735157159488
"GO:1904570"	"negative regulation of selenocysteine incorporation"	"BP"	1	1	0.184735157159488
"GO:1904574"	"negative regulation of selenocysteine insertion sequence binding"	"BP"	1	1	0.184735157159488
"GO:0051612"	"negative regulation of serotonin uptake"	"BP"	1	1	0.184735157159488
"GO:1905513"	"negative regulation of short-term synaptic potentiation"	"BP"	1	1	0.184735157159488
"GO:1904205"	"negative regulation of skeletal muscle hypertrophy"	"BP"	1	1	0.184735157159488
"GO:0098736"	"negative regulation of the force of heart contraction"	"BP"	1	1	0.184735157159488
"GO:1903124"	"negative regulation of thioredoxin peroxidase activity"	"BP"	1	1	0.184735157159488
"GO:1903125"	"negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation"	"BP"	1	1	0.184735157159488
"GO:0050760"	"negative regulation of thymidylate synthase biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0051886"	"negative regulation of timing of anagen"	"BP"	1	1	0.184735157159488
"GO:0032913"	"negative regulation of transforming growth factor beta3 production"	"BP"	1	1	0.184735157159488
"GO:0045993"	"negative regulation of translational initiation by iron"	"BP"	1	1	0.184735157159488
"GO:0001811"	"negative regulation of type I hypersensitivity"	"BP"	1	1	0.184735157159488
"GO:0002893"	"negative regulation of type II hypersensitivity"	"BP"	1	1	0.184735157159488
"GO:0001797"	"negative regulation of type IIa hypersensitivity"	"BP"	1	1	0.184735157159488
"GO:0061044"	"negative regulation of vascular wound healing"	"BP"	1	1	0.184735157159488
"GO:2001213"	"negative regulation of vasculogenesis"	"BP"	1	1	0.184735157159488
"GO:2000054"	"negative regulation of Wnt signaling pathway involved in dorsal/ventral axis specification"	"BP"	1	1	0.184735157159488
"GO:0014036"	"neural crest cell fate specification"	"BP"	1	1	0.184735157159488
"GO:0048664"	"neuron fate determination"	"BP"	1	1	0.184735157159488
"GO:0106028"	"neuron projection retraction"	"BP"	1	1	0.184735157159488
"GO:0021812"	"neuronal-glial interaction involved in cerebral cortex radial glia guided migration"	"BP"	1	1	0.184735157159488
"GO:0098968"	"neurotransmitter receptor transport postsynaptic membrane to endosome"	"BP"	1	1	0.184735157159488
"GO:0035732"	"nitric oxide storage"	"BP"	1	1	0.184735157159488
"GO:0038060"	"nitric oxide-cGMP-mediated signaling pathway"	"BP"	1	1	0.184735157159488
"GO:0090294"	"nitrogen catabolite activation of transcription"	"BP"	1	1	0.184735157159488
"GO:0001080"	"nitrogen catabolite activation of transcription from RNA polymerase II promoter"	"BP"	1	1	0.184735157159488
"GO:1904784"	"NLRP1 inflammasome complex assembly"	"BP"	1	1	0.184735157159488
"GO:0046204"	"nor-spermidine metabolic process"	"BP"	1	1	0.184735157159488
"GO:0003270"	"Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation"	"BP"	1	1	0.184735157159488
"GO:0071698"	"olfactory placode development"	"BP"	1	1	0.184735157159488
"GO:0030910"	"olfactory placode formation"	"BP"	1	1	0.184735157159488
"GO:0071699"	"olfactory placode morphogenesis"	"BP"	1	1	0.184735157159488
"GO:0021779"	"oligodendrocyte cell fate commitment"	"BP"	1	1	0.184735157159488
"GO:0021778"	"oligodendrocyte cell fate specification"	"BP"	1	1	0.184735157159488
"GO:0070267"	"oncosis"	"BP"	1	1	0.184735157159488
"GO:0036179"	"osteoclast maturation"	"BP"	1	1	0.184735157159488
"GO:1905040"	"otic placode development"	"BP"	1	1	0.184735157159488
"GO:0043049"	"otic placode formation"	"BP"	1	1	0.184735157159488
"GO:0001552"	"ovarian follicle atresia"	"BP"	1	1	0.184735157159488
"GO:0060066"	"oviduct development"	"BP"	1	1	0.184735157159488
"GO:0150024"	"oxidised low-density lipoprotein particle clearance"	"BP"	1	1	0.184735157159488
"GO:0042316"	"penicillin metabolic process"	"BP"	1	1	0.184735157159488
"GO:1990579"	"peptidyl-serine trans-autophosphorylation"	"BP"	1	1	0.184735157159488
"GO:0030845"	"phospholipase C-inhibiting G protein-coupled receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:0006649"	"phospholipid transfer to membrane"	"BP"	1	1	0.184735157159488
"GO:0002470"	"plasmacytoid dendritic cell antigen processing and presentation"	"BP"	1	1	0.184735157159488
"GO:0002373"	"plasmacytoid dendritic cell cytokine production"	"BP"	1	1	0.184735157159488
"GO:0070845"	"polyubiquitinated misfolded protein transport"	"BP"	1	1	0.184735157159488
"GO:0070844"	"polyubiquitinated protein transport"	"BP"	1	1	0.184735157159488
"GO:0043947"	"positive regulation by host of symbiont catalytic activity"	"BP"	1	1	0.184735157159488
"GO:0061903"	"positive regulation of 1-phosphatidylinositol-3-kinase activity"	"BP"	1	1	0.184735157159488
"GO:0090216"	"positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity"	"BP"	1	1	0.184735157159488
"GO:1904618"	"positive regulation of actin binding"	"BP"	1	1	0.184735157159488
"GO:1904531"	"positive regulation of actin filament binding"	"BP"	1	1	0.184735157159488
"GO:1904992"	"positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:2001250"	"positive regulation of ammonia assimilation cycle"	"BP"	1	1	0.184735157159488
"GO:1904719"	"positive regulation of AMPA glutamate receptor clustering"	"BP"	1	1	0.184735157159488
"GO:0061881"	"positive regulation of anterograde axonal transport of mitochondrion"	"BP"	1	1	0.184735157159488
"GO:1901953"	"positive regulation of anterograde dense core granule transport"	"BP"	1	1	0.184735157159488
"GO:1903744"	"positive regulation of anterograde synaptic vesicle transport"	"BP"	1	1	0.184735157159488
"GO:1904450"	"positive regulation of aspartate secretion"	"BP"	1	1	0.184735157159488
"GO:1905053"	"positive regulation of base-excision repair"	"BP"	1	1	0.184735157159488
"GO:2000334"	"positive regulation of blood microparticle formation"	"BP"	1	1	0.184735157159488
"GO:0051041"	"positive regulation of calcium-independent cell-cell adhesion"	"BP"	1	1	0.184735157159488
"GO:0043946"	"positive regulation of catalytic activity in other organism involved in symbiotic interaction"	"BP"	1	1	0.184735157159488
"GO:2000454"	"positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation"	"BP"	1	1	0.184735157159488
"GO:0003251"	"positive regulation of cell proliferation involved in heart valve morphogenesis"	"BP"	1	1	0.184735157159488
"GO:0045795"	"positive regulation of cell volume"	"BP"	1	1	0.184735157159488
"GO:0031940"	"positive regulation of chromatin silencing at telomere"	"BP"	1	1	0.184735157159488
"GO:1904501"	"positive regulation of chromatin-mediated maintenance of transcription"	"BP"	1	1	0.184735157159488
"GO:0090321"	"positive regulation of chylomicron remnant clearance"	"BP"	1	1	0.184735157159488
"GO:1902161"	"positive regulation of cyclic nucleotide-gated ion channel activity"	"BP"	1	1	0.184735157159488
"GO:2001272"	"positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis"	"BP"	1	1	0.184735157159488
"GO:0060301"	"positive regulation of cytokine activity"	"BP"	1	1	0.184735157159488
"GO:1901835"	"positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA"	"BP"	1	1	0.184735157159488
"GO:1904811"	"positive regulation of dense core granule transport"	"BP"	1	1	0.184735157159488
"GO:1902546"	"positive regulation of DNA N-glycosylase activity"	"BP"	1	1	0.184735157159488
"GO:1903629"	"positive regulation of dUTP diphosphatase activity"	"BP"	1	1	0.184735157159488
"GO:1905956"	"positive regulation of endothelial tube morphogenesis"	"BP"	1	1	0.184735157159488
"GO:0034120"	"positive regulation of erythrocyte aggregation"	"BP"	1	1	0.184735157159488
"GO:2000415"	"positive regulation of fibronectin-dependent thymocyte migration"	"BP"	1	1	0.184735157159488
"GO:0120183"	"positive regulation of focal adhesion disassembly"	"BP"	1	1	0.184735157159488
"GO:2000979"	"positive regulation of forebrain neuron differentiation"	"BP"	1	1	0.184735157159488
"GO:2001193"	"positive regulation of gamma-delta T cell activation involved in immune response"	"BP"	1	1	0.184735157159488
"GO:1904635"	"positive regulation of glomerular visceral epithelial cell apoptotic process"	"BP"	1	1	0.184735157159488
"GO:2000324"	"positive regulation of glucocorticoid receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:2000213"	"positive regulation of glutamate metabolic process"	"BP"	1	1	0.184735157159488
"GO:1903284"	"positive regulation of glutathione peroxidase activity"	"BP"	1	1	0.184735157159488
"GO:0045425"	"positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0040010"	"positive regulation of growth rate"	"BP"	1	1	0.184735157159488
"GO:1902038"	"positive regulation of hematopoietic stem cell differentiation"	"BP"	1	1	0.184735157159488
"GO:1905855"	"positive regulation of heparan sulfate binding"	"BP"	1	1	0.184735157159488
"GO:1905860"	"positive regulation of heparan sulfate proteoglycan binding"	"BP"	1	1	0.184735157159488
"GO:0061870"	"positive regulation of hepatic stellate cell migration"	"BP"	1	1	0.184735157159488
"GO:1904899"	"positive regulation of hepatic stellate cell proliferation"	"BP"	1	1	0.184735157159488
"GO:0090108"	"positive regulation of high-density lipoprotein particle assembly"	"BP"	1	1	0.184735157159488
"GO:1904325"	"positive regulation of inhibitory G protein-coupled receptor phosphorylation"	"BP"	1	1	0.184735157159488
"GO:0010925"	"positive regulation of inositol-polyphosphate 5-phosphatase activity"	"BP"	1	1	0.184735157159488
"GO:2000661"	"positive regulation of interleukin-1-mediated signaling pathway"	"BP"	1	1	0.184735157159488
"GO:0045401"	"positive regulation of interleukin-3 biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0032752"	"positive regulation of interleukin-3 production"	"BP"	1	1	0.184735157159488
"GO:0045404"	"positive regulation of interleukin-4 biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:1905929"	"positive regulation of invadopodium disassembly"	"BP"	1	1	0.184735157159488
"GO:1902078"	"positive regulation of lateral motor column neuron migration"	"BP"	1	1	0.184735157159488
"GO:1902748"	"positive regulation of lens fiber cell differentiation"	"BP"	1	1	0.184735157159488
"GO:0035491"	"positive regulation of leukotriene production involved in inflammatory response"	"BP"	1	1	0.184735157159488
"GO:1903002"	"positive regulation of lipid transport across blood brain barrier"	"BP"	1	1	0.184735157159488
"GO:0090326"	"positive regulation of locomotion involved in locomotory behavior"	"BP"	1	1	0.184735157159488
"GO:0033686"	"positive regulation of luteinizing hormone secretion"	"BP"	1	1	0.184735157159488
"GO:1901492"	"positive regulation of lymphangiogenesis"	"BP"	1	1	0.184735157159488
"GO:0043017"	"positive regulation of lymphotoxin A biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0032761"	"positive regulation of lymphotoxin A production"	"BP"	1	1	0.184735157159488
"GO:0010933"	"positive regulation of macrophage tolerance induction"	"BP"	1	1	0.184735157159488
"GO:2000103"	"positive regulation of mammary stem cell proliferation"	"BP"	1	1	0.184735157159488
"GO:0038097"	"positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:1904303"	"positive regulation of maternal process involved in parturition"	"BP"	1	1	0.184735157159488
"GO:1902462"	"positive regulation of mesenchymal stem cell proliferation"	"BP"	1	1	0.184735157159488
"GO:0014008"	"positive regulation of microglia differentiation"	"BP"	1	1	0.184735157159488
"GO:0061885"	"positive regulation of mini excitatory postsynaptic potential"	"BP"	1	1	0.184735157159488
"GO:0090297"	"positive regulation of mitochondrial DNA replication"	"BP"	1	1	0.184735157159488
"GO:1903465"	"positive regulation of mitotic cell cycle DNA replication"	"BP"	1	1	0.184735157159488
"GO:1905485"	"positive regulation of motor neuron migration"	"BP"	1	1	0.184735157159488
"GO:0031439"	"positive regulation of mRNA cleavage"	"BP"	1	1	0.184735157159488
"GO:0030887"	"positive regulation of myeloid dendritic cell activation"	"BP"	1	1	0.184735157159488
"GO:2000761"	"positive regulation of N-terminal peptidyl-lysine acetylation"	"BP"	1	1	0.184735157159488
"GO:0050924"	"positive regulation of negative chemotaxis"	"BP"	1	1	0.184735157159488
"GO:1902913"	"positive regulation of neuroepithelial cell differentiation"	"BP"	1	1	0.184735157159488
"GO:1902998"	"positive regulation of neurofibrillary tangle assembly"	"BP"	1	1	0.184735157159488
"GO:0045660"	"positive regulation of neutrophil differentiation"	"BP"	1	1	0.184735157159488
"GO:0045848"	"positive regulation of nitrogen utilization"	"BP"	1	1	0.184735157159488
"GO:1901331"	"positive regulation of odontoblast differentiation"	"BP"	1	1	0.184735157159488
"GO:1900143"	"positive regulation of oligodendrocyte apoptotic process"	"BP"	1	1	0.184735157159488
"GO:1903028"	"positive regulation of opsonization"	"BP"	1	1	0.184735157159488
"GO:2000830"	"positive regulation of parathyroid hormone secretion"	"BP"	1	1	0.184735157159488
"GO:2000470"	"positive regulation of peroxidase activity"	"BP"	1	1	0.184735157159488
"GO:1905695"	"positive regulation of phosphatidic acid biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0099588"	"positive regulation of postsynaptic cytosolic calcium concentration"	"BP"	1	1	0.184735157159488
"GO:2000975"	"positive regulation of pro-B cell differentiation"	"BP"	1	1	0.184735157159488
"GO:1902213"	"positive regulation of prolactin signaling pathway"	"BP"	1	1	0.184735157159488
"GO:1903638"	"positive regulation of protein import into mitochondrial outer membrane"	"BP"	1	1	0.184735157159488
"GO:1904808"	"positive regulation of protein oxidation"	"BP"	1	1	0.184735157159488
"GO:0010845"	"positive regulation of reciprocal meiotic recombination"	"BP"	1	1	0.184735157159488
"GO:1900370"	"positive regulation of RNA interference"	"BP"	1	1	0.184735157159488
"GO:0014718"	"positive regulation of satellite cell activation involved in skeletal muscle regeneration"	"BP"	1	1	0.184735157159488
"GO:1904268"	"positive regulation of Schwann cell chemotaxis"	"BP"	1	1	0.184735157159488
"GO:2001262"	"positive regulation of semaphorin-plexin signaling pathway"	"BP"	1	1	0.184735157159488
"GO:2000764"	"positive regulation of semaphorin-plexin signaling pathway involved in outflow tract morphogenesis"	"BP"	1	1	0.184735157159488
"GO:1904792"	"positive regulation of shelterin complex assembly"	"BP"	1	1	0.184735157159488
"GO:1903408"	"positive regulation of sodium:potassium-exchanging ATPase activity"	"BP"	1	1	0.184735157159488
"GO:1904677"	"positive regulation of somatic stem cell division"	"BP"	1	1	0.184735157159488
"GO:1904674"	"positive regulation of somatic stem cell population maintenance"	"BP"	1	1	0.184735157159488
"GO:1904237"	"positive regulation of substrate-dependent cell migration, cell attachment to substrate"	"BP"	1	1	0.184735157159488
"GO:1903755"	"positive regulation of SUMO transferase activity"	"BP"	1	1	0.184735157159488
"GO:0051914"	"positive regulation of synaptic plasticity by chemical substance"	"BP"	1	1	0.184735157159488
"GO:1905549"	"positive regulation of telomeric heterochromatin assembly"	"BP"	1	1	0.184735157159488
"GO:0003099"	"positive regulation of the force of heart contraction by chemical signal"	"BP"	1	1	0.184735157159488
"GO:0001997"	"positive regulation of the force of heart contraction by epinephrine-norepinephrine"	"BP"	1	1	0.184735157159488
"GO:0061586"	"positive regulation of transcription by transcription factor localization"	"BP"	1	1	0.184735157159488
"GO:2000763"	"positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:1904300"	"positive regulation of transcytosis"	"BP"	1	1	0.184735157159488
"GO:2001203"	"positive regulation of transforming growth factor-beta secretion"	"BP"	1	1	0.184735157159488
"GO:1904075"	"positive regulation of trophectodermal cell proliferation"	"BP"	1	1	0.184735157159488
"GO:2000309"	"positive regulation of tumor necrosis factor (ligand) superfamily member 11 production"	"BP"	1	1	0.184735157159488
"GO:1905176"	"positive regulation of vascular smooth muscle cell dedifferentiation"	"BP"	1	1	0.184735157159488
"GO:1901610"	"positive regulation of vesicle transport along microtubule"	"BP"	1	1	0.184735157159488
"GO:0010980"	"positive regulation of vitamin D 24-hydroxylase activity"	"BP"	1	1	0.184735157159488
"GO:1905152"	"positive regulation of voltage-gated sodium channel activity"	"BP"	1	1	0.184735157159488
"GO:0003247"	"post-embryonic cardiac muscle cell growth involved in heart morphogenesis"	"BP"	1	1	0.184735157159488
"GO:0060060"	"post-embryonic retina morphogenesis in camera-type eye"	"BP"	1	1	0.184735157159488
"GO:0007497"	"posterior midgut development"	"BP"	1	1	0.184735157159488
"GO:0021784"	"postganglionic parasympathetic fiber development"	"BP"	1	1	0.184735157159488
"GO:0003138"	"primary heart field specification"	"BP"	1	1	0.184735157159488
"GO:0060516"	"primary prostatic bud elongation"	"BP"	1	1	0.184735157159488
"GO:0003342"	"proepicardium development"	"BP"	1	1	0.184735157159488
"GO:0060515"	"prostate field specification"	"BP"	1	1	0.184735157159488
"GO:0060514"	"prostate induction"	"BP"	1	1	0.184735157159488
"GO:0033368"	"protease localization to mast cell secretory granule"	"BP"	1	1	0.184735157159488
"GO:0033375"	"protease localization to T cell secretory granule"	"BP"	1	1	0.184735157159488
"GO:0018117"	"protein adenylylation"	"BP"	1	1	0.184735157159488
"GO:0018277"	"protein deamination"	"BP"	1	1	0.184735157159488
"GO:0042125"	"protein galactosylation"	"BP"	1	1	0.184735157159488
"GO:0033580"	"protein galactosylation at cell surface"	"BP"	1	1	0.184735157159488
"GO:0033575"	"protein glycosylation at cell surface"	"BP"	1	1	0.184735157159488
"GO:0033367"	"protein localization to mast cell secretory granule"	"BP"	1	1	0.184735157159488
"GO:1903621"	"protein localization to photoreceptor connecting cilium"	"BP"	1	1	0.184735157159488
"GO:0033374"	"protein localization to T cell secretory granule"	"BP"	1	1	0.184735157159488
"GO:0036371"	"protein localization to T-tubule"	"BP"	1	1	0.184735157159488
"GO:0018175"	"protein nucleotidylation"	"BP"	1	1	0.184735157159488
"GO:0036290"	"protein trans-autophosphorylation"	"BP"	1	1	0.184735157159488
"GO:0032599"	"protein transport out of membrane raft"	"BP"	1	1	0.184735157159488
"GO:0003350"	"pulmonary myocardium development"	"BP"	1	1	0.184735157159488
"GO:0003193"	"pulmonary valve formation"	"BP"	1	1	0.184735157159488
"GO:0003165"	"Purkinje myocyte development"	"BP"	1	1	0.184735157159488
"GO:0086055"	"Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling"	"BP"	1	1	0.184735157159488
"GO:0032920"	"putrescine acetylation"	"BP"	1	1	0.184735157159488
"GO:0019364"	"pyridine nucleotide catabolic process"	"BP"	1	1	0.184735157159488
"GO:0046127"	"pyrimidine deoxyribonucleoside catabolic process"	"BP"	1	1	0.184735157159488
"GO:0009444"	"pyruvate oxidation"	"BP"	1	1	0.184735157159488
"GO:0009956"	"radial pattern formation"	"BP"	1	1	0.184735157159488
"GO:0036298"	"recombinational interstrand cross-link repair"	"BP"	1	1	0.184735157159488
"GO:0061901"	"regulation of 1-phosphatidylinositol-3-kinase activity"	"BP"	1	1	0.184735157159488
"GO:0090215"	"regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity"	"BP"	1	1	0.184735157159488
"GO:1901585"	"regulation of acid-sensing ion channel activity"	"BP"	1	1	0.184735157159488
"GO:1904616"	"regulation of actin binding"	"BP"	1	1	0.184735157159488
"GO:0090138"	"regulation of actin cytoskeleton organization by cell-cell adhesion"	"BP"	1	1	0.184735157159488
"GO:1904529"	"regulation of actin filament binding"	"BP"	1	1	0.184735157159488
"GO:0071877"	"regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:0140193"	"regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process"	"BP"	1	1	0.184735157159488
"GO:1904990"	"regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway"	"BP"	1	1	0.184735157159488
"GO:2001248"	"regulation of ammonia assimilation cycle"	"BP"	1	1	0.184735157159488
"GO:0061880"	"regulation of anterograde axonal transport of mitochondrion"	"BP"	1	1	0.184735157159488
"GO:1901951"	"regulation of anterograde dense core granule transport"	"BP"	1	1	0.184735157159488
"GO:1903742"	"regulation of anterograde synaptic vesicle transport"	"BP"	1	1	0.184735157159488
"GO:1900081"	"regulation of arginine catabolic process"	"BP"	1	1	0.184735157159488
"GO:1904448"	"regulation of aspartate secretion"	"BP"	1	1	0.184735157159488
"GO:0002622"	"regulation of B cell antigen processing and presentation"	"BP"	1	1	0.184735157159488
"GO:1905051"	"regulation of base-excision repair"	"BP"	1	1	0.184735157159488
"GO:1904863"	"regulation of beta-catenin-TCF complex assembly"	"BP"	1	1	0.184735157159488
"GO:2000332"	"regulation of blood microparticle formation"	"BP"	1	1	0.184735157159488
"GO:1903610"	"regulation of calcium-dependent ATPase activity"	"BP"	1	1	0.184735157159488
"GO:2000079"	"regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation"	"BP"	1	1	0.184735157159488
"GO:1901210"	"regulation of cardiac chamber formation"	"BP"	1	1	0.184735157159488
"GO:1901219"	"regulation of cardiac chamber morphogenesis"	"BP"	1	1	0.184735157159488
"GO:2000690"	"regulation of cardiac muscle cell myoblast differentiation"	"BP"	1	1	0.184735157159488
"GO:1905304"	"regulation of cardiac myofibril assembly"	"BP"	1	1	0.184735157159488
"GO:0106088"	"regulation of cell adhesion involved in sprouting angiogenesis"	"BP"	1	1	0.184735157159488
"GO:0060305"	"regulation of cell diameter"	"BP"	1	1	0.184735157159488
"GO:0060784"	"regulation of cell proliferation involved in tissue homeostasis"	"BP"	1	1	0.184735157159488
"GO:0033241"	"regulation of cellular amine catabolic process"	"BP"	1	1	0.184735157159488
"GO:1905891"	"regulation of cellular response to thapsigargin"	"BP"	1	1	0.184735157159488
"GO:1905894"	"regulation of cellular response to tunicamycin"	"BP"	1	1	0.184735157159488
"GO:1905890"	"regulation of cellular response to very-low-density lipoprotein particle stimulus"	"BP"	1	1	0.184735157159488
"GO:1904499"	"regulation of chromatin-mediated maintenance of transcription"	"BP"	1	1	0.184735157159488
"GO:0090320"	"regulation of chylomicron remnant clearance"	"BP"	1	1	0.184735157159488
"GO:1903248"	"regulation of citrulline biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:1902159"	"regulation of cyclic nucleotide-gated ion channel activity"	"BP"	1	1	0.184735157159488
"GO:1900022"	"regulation of D-erythro-sphingosine kinase activity"	"BP"	1	1	0.184735157159488
"GO:1901834"	"regulation of deadenylation-independent decapping of nuclear-transcribed mRNA"	"BP"	1	1	0.184735157159488
"GO:1904809"	"regulation of dense core granule transport"	"BP"	1	1	0.184735157159488
"GO:1903627"	"regulation of dUTP diphosphatase activity"	"BP"	1	1	0.184735157159488
"GO:0010999"	"regulation of eIF2 alpha phosphorylation by heme"	"BP"	1	1	0.184735157159488
"GO:0034118"	"regulation of erythrocyte aggregation"	"BP"	1	1	0.184735157159488
"GO:1904913"	"regulation of establishment of protein-containing complex localization to telomere"	"BP"	1	1	0.184735157159488
"GO:1904910"	"regulation of establishment of RNA localization to telomere"	"BP"	1	1	0.184735157159488
"GO:1904793"	"regulation of euchromatin binding"	"BP"	1	1	0.184735157159488
"GO:1904649"	"regulation of fat cell apoptotic process"	"BP"	1	1	0.184735157159488
"GO:2000413"	"regulation of fibronectin-dependent thymocyte migration"	"BP"	1	1	0.184735157159488
"GO:0120182"	"regulation of focal adhesion disassembly"	"BP"	1	1	0.184735157159488
"GO:2001191"	"regulation of gamma-delta T cell activation involved in immune response"	"BP"	1	1	0.184735157159488
"GO:1905333"	"regulation of gastric motility"	"BP"	1	1	0.184735157159488
"GO:1904633"	"regulation of glomerular visceral epithelial cell apoptotic process"	"BP"	1	1	0.184735157159488
"GO:1903282"	"regulation of glutathione peroxidase activity"	"BP"	1	1	0.184735157159488
"GO:0045423"	"regulation of granulocyte macrophage colony-stimulating factor biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:2000821"	"regulation of grooming behavior"	"BP"	1	1	0.184735157159488
"GO:1905853"	"regulation of heparan sulfate binding"	"BP"	1	1	0.184735157159488
"GO:1905858"	"regulation of heparan sulfate proteoglycan binding"	"BP"	1	1	0.184735157159488
"GO:0061869"	"regulation of hepatic stellate cell migration"	"BP"	1	1	0.184735157159488
"GO:1904897"	"regulation of hepatic stellate cell proliferation"	"BP"	1	1	0.184735157159488
"GO:1904323"	"regulation of inhibitory G protein-coupled receptor phosphorylation"	"BP"	1	1	0.184735157159488
"GO:0042669"	"regulation of inner ear auditory receptor cell fate specification"	"BP"	1	1	0.184735157159488
"GO:0010924"	"regulation of inositol-polyphosphate 5-phosphatase activity"	"BP"	1	1	0.184735157159488
"GO:0045399"	"regulation of interleukin-3 biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:1905927"	"regulation of invadopodium disassembly"	"BP"	1	1	0.184735157159488
"GO:1902076"	"regulation of lateral motor column neuron migration"	"BP"	1	1	0.184735157159488
"GO:1903633"	"regulation of leucine-tRNA ligase activity"	"BP"	1	1	0.184735157159488
"GO:0035490"	"regulation of leukotriene production involved in inflammatory response"	"BP"	1	1	0.184735157159488
"GO:1903000"	"regulation of lipid transport across blood brain barrier"	"BP"	1	1	0.184735157159488
"GO:0033684"	"regulation of luteinizing hormone secretion"	"BP"	1	1	0.184735157159488
"GO:0043016"	"regulation of lymphotoxin A biosynthetic process"	"BP"	1	1	0.184735157159488
"GO:0032681"	"regulation of lymphotoxin A production"	"BP"	1	1	0.184735157159488
"GO:0002616"	"regulation of macrophage antigen processing and presentation"	"BP"	1	1	0.184735157159488
"GO:0010932"	"regulation of macrophage tolerance induction"	"BP"	1	1	0.184735157159488
"GO:2000101"	"regulation of mammary stem cell proliferation"	"BP"	1	1	0.184735157159488
"GO:1904301"	"regulation of maternal process involved in parturition"	"BP"	1	1	0.184735157159488
"GO:1905000"	"regulation of membrane repolarization during atrial cardiac muscle cell action potential"	"BP"	1	1	0.184735157159488
"GO:1902460"	"regulation of mesenchymal stem cell proliferation"	"BP"	1	1	0.184735157159488
"GO:0014006"	"regulation of microglia differentiation"	"BP"	1	1	0.184735157159488
"GO:0061884"	"regulation of mini excitatory postsynaptic potential"	"BP"	1	1	0.184735157159488
"GO:1905483"	"regulation of motor neuron migration"	"BP"	1	1	0.184735157159488
"GO:0031437"	"regulation of mRNA cleavage"	"BP"	1	1	0.184735157159488
"GO:2000759"	"regulation of N-terminal peptidyl-lysine acetylation"	"BP"	1	1	0.184735157159488
"GO:1904799"	"regulation of neuron remodeling"	"BP"	1	1	0.184735157159488
"GO:1902847"	"regulation of neuronal signal transduction"	"BP"	1	1	0.184735157159488
"GO:1903314"	"regulation of nitrogen cycle metabolic process"	"BP"	1	1	0.184735157159488
"GO:1903353"	"regulation of nucleus organization"	"BP"	1	1	0.184735157159488
"GO:1905693"	"regulation of phosphatidic acid biosynthetic process"	"BP"	1	1	0.184735157159488
