"Treatment","Drug","X","VCFG_Compound_Plate_ID","Patient","WellID","Perc_FC","Bin","ZScore","Dose","Hit","Target","Pathway","VCFG_Plate_ID","compared.to","Mahalanobis","mp.value"
"MLN2480_5","MLN2480",2461,"D12","yP516_LT1","D05",46.472,"LC",-6.898,"5","Yes","MAPK/ERK","MAPK/ERK","D12","DMSO_0uM",13.125,0
"MLN8054_0.5","MLN8054",421,"D02","yP516_LT1","G09",100,"CV1",0.277,"0.5","No","AUK","Cell cycle progression","D02","DMSO_0uM",1.163,0.657
"MLN8054_5","MLN8054",313,"D02","yP516_LT1","D09",33.645,"LC",-7.173,"5","Yes","AUK","Cell cycle progression","D02","DMSO_0uM",18.955,0
"Momelotinib (CYT387)_0.5","Momelotinib (CYT387)",1411,"D07","yP516_LT1","E03",72.739,"CV2",-3.075,"0.5","No","JAK/STAT/Pim","JAK/STAT","D07","DMSO_0uM",3.331,0
"Momelotinib (CYT387)_5","Momelotinib (CYT387)",1303,"D07","yP516_LT1","B03",61.217,"CV2",-4.314,"5","No","JAK/STAT/Pim","JAK/STAT","D07","DMSO_0uM",6.85,0
"Nilotinib (AMN-107)_0.5","Nilotinib (AMN-107)",202,"D01","yP516_LT1","G08",100,"HI",3.218,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D01","DMSO_0uM",2.956,0.154
"Nilotinib (AMN-107)_5","Nilotinib (AMN-107)",94,"D01","yP516_LT1","D08",100,"HI",1.626,"5","No","Bcr-Abl/BTK","B Cell Receptor","D01","DMSO_0uM",1.283,0.51
"NSC 23766_0.5","NSC 23766",3346,"D16","yP516_LT1","E03",89.412,"CV1",-0.866,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",0.81,0.691
"NSC 23766_5","NSC 23766",3247,"D16","yP516_LT1","B03",91.622,"CV1",-0.72,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",1.748,0.326
"NU6027_0.5","NU6027",2533,"D12","yP516_LT1","F05",92.047,"CV1",-1.176,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",0.534,1
"NU6027_5","NU6027",2425,"D12","yP516_LT1","C05",74.911,"CV2",-3.328,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",2.986,0.18
"NVP-BHG712_0.5","NVP-BHG712",1216,"D06","yP516_LT1","E10",100,"CV1",0.101,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D06","DMSO_0uM",2.207,0.34
"NVP-BHG712_5","NVP-BHG712",1108,"D06","yP516_LT1","B10",99.912,"CV1",0.009,"5","No","Bcr-Abl/BTK","B Cell Receptor","D06","DMSO_0uM",3.68,0
"NVP-BSK805 2HCl_0.5","NVP-BSK805 2HCl",1672,"D08","yP516_LT1","F06",96.856,"CV1",-0.396,"0.5","No","JAK/STAT/Pim","JAK/STAT","D08","DMSO_0uM",0.459,1
"NVP-BSK805 2HCl_5","NVP-BSK805 2HCl",1564,"D08","yP516_LT1","C06",67.752,"CV2",-3.481,"5","No","JAK/STAT/Pim","JAK/STAT","D08","DMSO_0uM",8.537,0
"Oclacitinib_0.5","Oclacitinib",3358,"D16","yP516_LT1","E07",94.613,"CV1",-0.523,"0.5","No","JAK/STAT/Pim","JAK/STAT","D16","DMSO_0uM",1.739,0.319
"Oclacitinib_5","Oclacitinib",3259,"D16","yP516_LT1","B07",100,"CV1",0.926,"5","No","JAK/STAT/Pim","JAK/STAT","D16","DMSO_0uM",1.137,0.668
"Omipalisib (GSK2126458_ GSK458)_0.5","Omipalisib (GSK2126458_ GSK458)",1507,"D07","yP516_LT1","G11",73.529,"CV2",-2.99,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",5.485,0
"Omipalisib (GSK2126458_ GSK458)_5","Omipalisib (GSK2126458_ GSK458)",1399,"D07","yP516_LT1","D11",32.981,"LC",-7.349,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",56.224,0
"ONO-4059 analogue_0.5","ONO-4059 analogue",3181,"D15","yP516_LT1","F05",87.75,"CV1",-0.903,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D15","DMSO_0uM",2.751,0.183
"ONO-4059 analogue_5","ONO-4059 analogue",3073,"D15","yP516_LT1","C05",84.863,"CV1",-1.027,"5","No","Bcr-Abl/BTK","B Cell Receptor","D15","DMSO_0uM",1.739,0.327
"OSI-027_0.5","OSI-027",1501,"D07","yP516_LT1","G09",93.926,"CV1",-0.798,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",1.149,0.828
"OSI-027_5","OSI-027",1393,"D07","yP516_LT1","D09",77.768,"CV2",-2.535,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",4.959,0
"OSU-03012 (AR-12)_0.5","OSU-03012 (AR-12)",427,"D02","yP516_LT1","G11",100,"CV1",1.215,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D02","DMSO_0uM",1.048,0.668
"OSU-03012 (AR-12)_5","OSU-03012 (AR-12)",319,"D02","yP516_LT1","D11",9.363,"LC",-9.849,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D02","DMSO_0uM",80.262,0
"P276-00_0.5","P276-00",3355,"D16","yP516_LT1","E06",100,"CV1",-0.025,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",0.232,1
"P276-00_5","P276-00",3256,"D16","yP516_LT1","B06",0.218,"LC",-6.754,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",150,0
"Palbociclib (PD-0332991) HCl_0.5","Palbociclib (PD-0332991) HCl",3364,"D16","yP516_LT1","E09",100,"CV1",0.197,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",0.582,0.825
"Palbociclib (PD-0332991) HCl_5","Palbociclib (PD-0332991) HCl",3265,"D16","yP516_LT1","B09",100,"CV1",0.06,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D16","DMSO_0uM",0.968,0.654
"Palomid 529 (P529)_0.5","Palomid 529 (P529)",1453,"D07","yP516_LT1","F05",83.303,"CV1",-1.94,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",1.83,0.334
"Palomid 529 (P529)_5","Palomid 529 (P529)",1345,"D07","yP516_LT1","C05",77.182,"CV2",-2.598,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",3.803,0
"PD0325901_0.5","PD0325901",205,"D01","yP516_LT1","G09",100,"CV1",-0.383,"0.5","No","MAPK/ERK","MAPK/ERK","D01","DMSO_0uM",1.226,0.524
"PD0325901_5","PD0325901",97,"D01","yP516_LT1","D09",63.637,"CV2",-4.108,"5","No","MAPK/ERK","MAPK/ERK","D01","DMSO_0uM",3.219,0.159
"PD173955_0.5","PD173955",2779,"D13","yP516_LT1","G03",98.511,"CV1",-0.291,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D13","DMSO_0uM",0.568,1
"PD173955_5","PD173955",2671,"D13","yP516_LT1","D03",100,"CV1",0.413,"5","No","Bcr-Abl/BTK","B Cell Receptor","D13","DMSO_0uM",0.612,1
"PD184352 (CI-1040)_0.5","PD184352 (CI-1040)",160,"D01","yP516_LT1","F06",100,"HI",2.424,"0.5","No","MAPK/ERK","MAPK/ERK","D01","DMSO_0uM",2.005,0.348
"PD184352 (CI-1040)_5","PD184352 (CI-1040)",52,"D01","yP516_LT1","C06",69.527,"CV2",-3.538,"5","No","MAPK/ERK","MAPK/ERK","D01","DMSO_0uM",3.326,0.191
"PD318088_0.5","PD318088",1003,"D05","yP516_LT1","E11",69.281,"CV2",-2.162,"0.5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",2.432,0.324
"PD318088_5","PD318088",895,"D05","yP516_LT1","B11",55.218,"CV2",-3.101,"5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",6.172,0
"PD98059_0.5","PD98059",571,"D03","yP516_LT1","E11",90.463,"CV1",-0.244,"0.5","No","MAPK/ERK","MAPK/ERK","D03","DMSO_0uM",2.367,0.151
"PD98059_5","PD98059",463,"D03","yP516_LT1","B11",82.626,"CV1",-0.538,"5","No","MAPK/ERK","MAPK/ERK","D03","DMSO_0uM",2.164,0.499
"Perifosine (KRX-0401)_0.5","Perifosine (KRX-0401)",3427,"D16","yP516_LT1","G08",99.758,"CV1",-0.183,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D16","DMSO_0uM",1.256,0.663
"Perifosine (KRX-0401)_5","Perifosine (KRX-0401)",3328,"D16","yP516_LT1","D08",100,"CV1",0.079,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D16","DMSO_0uM",1.734,0.303
"PF-00562271_0.5","PF-00562271",1630,"D08","yP516_LT1","E04",100,"CV1",1.426,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D08","DMSO_0uM",0.877,1
"PF-00562271_5","PF-00562271",1522,"D08","yP516_LT1","B04",42.685,"LC",-6.137,"5","Yes","Src/Syk/FAK","Src/Syk/FAK","D08","DMSO_0uM",25.46,0
"PF-04691502_0.5","PF-04691502",1915,"D09","yP516_LT1","G03",92.776,"CV1",-0.596,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",0.857,0.65
"PF-04691502_5","PF-04691502",1807,"D09","yP516_LT1","D03",49.627,"LC",-4.226,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",16.126,0
"PF-3758309_0.5","PF-3758309",2494,"D12","yP516_LT1","E04",85.887,"CV1",-1.95,"0.5","No","HDAC/PAK","Cytoskeletal","D12","DMSO_0uM",1.86,0.34
"PF-3758309_5","PF-3758309",2386,"D12","yP516_LT1","B04",11.227,"LC",-11.322,"5","Yes","HDAC/PAK","Cytoskeletal","D12","DMSO_0uM",121.916,0
"PF-431396_0.5","PF-431396",2938,"D14","yP516_LT1","E08",85.505,"CV1",-1.155,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D14","DMSO_0uM",1.517,0.338
"PF-431396_5","PF-431396",2830,"D14","yP516_LT1","B08",37.047,"LC",-4.738,"5","Yes","Src/Syk/FAK","Src/Syk/FAK","D14","DMSO_0uM",12.595,0
"PF-4708671_0.5","PF-4708671",1243,"D06","yP516_LT1","F07",100,"CV1",0.124,"0.5","No","RSK/SGK","PIK3/mTOR/AKT","D06","DMSO_0uM",2.556,0.308
"PF-4708671_5","PF-4708671",1135,"D06","yP516_LT1","C07",24.525,"LC",-4.655,"5","Yes","RSK/SGK","PIK3/mTOR/AKT","D06","DMSO_0uM",40.2,0
"PF-477736_0.5","PF-477736",2080,"D10","yP516_LT1","E10",84.658,"CV1",-1.258,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D10","DMSO_0uM",1.765,0.511
"PF-477736_5","PF-477736",1972,"D10","yP516_LT1","B10",13.508,"LC",-6.878,"5","Yes","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D10","DMSO_0uM",40.77,0
"PF-562271_0.5","PF-562271",2143,"D10","yP516_LT1","G07",83.659,"CV1",-1.337,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D10","DMSO_0uM",1.251,0.655
"PF-562271_5","PF-562271",2035,"D10","yP516_LT1","D07",37.727,"LC",-4.965,"5","Yes","Src/Syk/FAK","Src/Syk/FAK","D10","DMSO_0uM",16.037,0
"PF-573228_0.5","PF-573228",1201,"D06","yP516_LT1","E05",90.748,"CV1",-0.558,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D06","DMSO_0uM",2.884,0.184
"PF-573228_5","PF-573228",1093,"D06","yP516_LT1","B05",77.754,"CV2",-1.362,"5","No","Src/Syk/FAK","Src/Syk/FAK","D06","DMSO_0uM",6.24,0
"PFK15_0.5","PFK15",2782,"D13","yP516_LT1","G04",91.577,"CV1",-0.799,"0.5","No","Miscellaneous","PIK3/mTOR/AKT","D13","DMSO_0uM",0.19,1
"PFK15_5","PFK15",2674,"D13","yP516_LT1","D04",87.445,"CV1",-1.101,"5","No","Miscellaneous","PIK3/mTOR/AKT","D13","DMSO_0uM",2.054,0.337
"PH-797804_0.5","PH-797804",1684,"D08","yP516_LT1","F10",92.402,"CV1",-0.868,"0.5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D08","DMSO_0uM",4.894,0
"PH-797804_5","PH-797804",1576,"D08","yP516_LT1","C10",90.225,"CV1",-1.099,"5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D08","DMSO_0uM",4.153,0
"PHA-680632_0.5","PHA-680632",787,"D04","yP516_LT1","E11",100,"HI",2.413,"0.5","No","AUK","Cell cycle progression","D04","DMSO_0uM",2.824,0.317
"PHA-680632_5","PHA-680632",679,"D04","yP516_LT1","B11",31.581,"LC",-5.033,"5","Yes","AUK","Cell cycle progression","D04","DMSO_0uM",21.648,0
"PHA-767491_0.5","PHA-767491",1879,"D09","yP516_LT1","F03",93.537,"CV1",-0.532,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D09","DMSO_0uM",0.442,1
"PHA-767491_5","PHA-767491",1771,"D09","yP516_LT1","C03",20.172,"LC",-6.704,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D09","DMSO_0uM",28.32,0
"PHA-793887_0.5","PHA-793887",1021,"D05","yP516_LT1","F05",71.722,"CV2",-1.999,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",2.034,0.321
"PHA-793887_5","PHA-793887",913,"D05","yP516_LT1","C05",59.09,"CV2",-2.843,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",6.178,0
"Phenformin HCl_0.5","Phenformin HCl",1426,"D07","yP516_LT1","E08",75.945,"CV2",-2.731,"0.5","No","AMPK/LRRK2","AMPK","D07","DMSO_0uM",4.348,0
"Phenformin HCl_5","Phenformin HCl",1318,"D07","yP516_LT1","B08",83.809,"CV1",-1.886,"5","No","AMPK/LRRK2","AMPK","D07","DMSO_0uM",2.708,0
"PHT-427_0.5","PHT-427",1069,"D05","yP516_LT1","G09",100,"CV1",0.328,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",0.91,0.835
"PHT-427_5","PHT-427",961,"D05","yP516_LT1","D09",100,"CV1",0.719,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",1.785,0.505
"PI-103_0.5","PI-103",136,"D01","yP516_LT1","E10",79.003,"CV2",-2.62,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D01","DMSO_0uM",1.8,0.34
"PI-103_5","PI-103",28,"D01","yP516_LT1","B10",74.511,"CV2",-3.055,"5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D01","DMSO_0uM",2.438,0.184
"Piceatannol_0.5","Piceatannol",2347,"D11","yP516_LT1","G03",86.827,"CV1",-1.301,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",1.414,0.525
"Piceatannol_5","Piceatannol",2239,"D11","yP516_LT1","D03",87.596,"CV1",-1.22,"5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",1.529,0.518
"Pictilisib (GDC-0941)_0.5","Pictilisib (GDC-0941)",370,"D02","yP516_LT1","F04",83.262,"CV1",-1.705,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D02","DMSO_0uM",2.807,0.177
"Pictilisib (GDC-0941)_5","Pictilisib (GDC-0941)",262,"D02","yP516_LT1","C04",33.461,"LC",-7.193,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D02","DMSO_0uM",18.894,0
"PIK-293_0.5","PIK-293",1288,"D06","yP516_LT1","G10",84.561,"CV1",-0.941,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D06","DMSO_0uM",3.281,0
"PIK-293_5","PIK-293",1180,"D06","yP516_LT1","D10",93.003,"CV1",-0.418,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D06","DMSO_0uM",3.232,0
"PIK-294_0.5","PIK-294",1450,"D07","yP516_LT1","F04",84.444,"CV1",-1.817,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",2.467,0
"PIK-294_5","PIK-294",1342,"D07","yP516_LT1","C04",80.526,"CV1",-2.238,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",1.823,0.321
"PIK-93_0.5","PIK-93",1057,"D05","yP516_LT1","G05",88.138,"CV1",-0.902,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",1.079,0.841
"PIK-93_5","PIK-93",949,"D05","yP516_LT1","D05",60.776,"CV2",-2.73,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",3.264,0
"Pimasertib (AS-703026)_0.5","Pimasertib (AS-703026)",1018,"D05","yP516_LT1","F04",59.446,"CV2",-2.819,"0.5","No","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",3.353,0.144
"Pimasertib (AS-703026)_5","Pimasertib (AS-703026)",910,"D05","yP516_LT1","C04",49.185,"LC",-3.504,"5","Yes","MAPK/ERK","MAPK/ERK","D05","DMSO_0uM",6.567,0
"PLX-4720_0.5","PLX-4720",562,"D03","yP516_LT1","E08",95.791,"CV1",-0.044,"0.5","No","MAPK/ERK","MAPK/ERK","D03","DMSO_0uM",2.452,0.188
"PLX-4720_5","PLX-4720",454,"D03","yP516_LT1","B08",66.99,"CV2",-1.125,"5","No","MAPK/ERK","MAPK/ERK","D03","DMSO_0uM",3.796,0
"PLX7904_0.5","PLX7904",3187,"D15","yP516_LT1","F07",100,"CV1",-0.129,"0.5","No","MAPK/ERK","MAPK/ERK","D15","DMSO_0uM",0.766,0.654
"PLX7904_5","PLX7904",3079,"D15","yP516_LT1","C07",98.216,"CV1",-0.454,"5","No","MAPK/ERK","MAPK/ERK","D15","DMSO_0uM",3.049,0.159
"Ponatinib (AP24534)_0.5","Ponatinib (AP24534)",988,"D05","yP516_LT1","E06",77.372,"CV2",-1.621,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D05","DMSO_0uM",1.89,0.327
"Ponatinib (AP24534)_5","Ponatinib (AP24534)",880,"D05","yP516_LT1","B06",43.304,"LC",-3.897,"5","Yes","Bcr-Abl/BTK","B Cell Receptor","D05","DMSO_0uM",13.16,0
"PP1_0.5","PP1",2332,"D11","yP516_LT1","F10",87.922,"CV1",-1.186,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",1.122,0.52
"PP1_5","PP1",2224,"D11","yP516_LT1","C10",74.158,"CV2",-2.634,"5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",3.98,0
"PP121_0.5","PP121",1465,"D07","yP516_LT1","F09",95.366,"CV1",-0.643,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D07","DMSO_0uM",0.714,1
"PP121_5","PP121",1357,"D07","yP516_LT1","C09",49.359,"LC",-5.588,"5","Yes","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D07","DMSO_0uM",23.558,0
"PP2_0.5","PP2",2323,"D11","yP516_LT1","F07",87.502,"CV1",-1.23,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",0.402,1
"PP2_5","PP2",2215,"D11","yP516_LT1","C07",78.437,"CV2",-2.184,"5","No","Src/Syk/FAK","Src/Syk/FAK","D11","DMSO_0uM",2.499,0.154
"PRT062607 (P505-15_ BIIB057) HCl_0.5","PRT062607 (P505-15_ BIIB057) HCl",3379,"D16","yP516_LT1","F03",92.782,"CV1",-0.644,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D16","DMSO_0uM",0.694,0.684
"PRT062607 (P505-15_ BIIB057) HCl_5","PRT062607 (P505-15_ BIIB057) HCl",3280,"D16","yP516_LT1","C03",100,"CV1",0.098,"5","No","Src/Syk/FAK","Src/Syk/FAK","D16","DMSO_0uM",0.541,0.823
"Purvalanol A_0.5","Purvalanol A",3175,"D15","yP516_LT1","F03",72.59,"CV2",-1.555,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D15","DMSO_0uM",1.04,0.666
"Purvalanol A_5","Purvalanol A",3067,"D15","yP516_LT1","C03",84.643,"CV1",-1.037,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D15","DMSO_0uM",1.322,0.32
"Quercetin_0.5","Quercetin",1459,"D07","yP516_LT1","F07",90.74,"CV1",-1.141,"0.5","No","Src/Syk/FAK","Miscellaneous","D07","DMSO_0uM",1.005,1
"Quercetin_5","Quercetin",1351,"D07","yP516_LT1","C07",54.36,"CV2",-5.051,"5","No","Src/Syk/FAK","Miscellaneous","D07","DMSO_0uM",6.961,0
"R406 (free base)_0.5","R406 (free base)",1066,"D05","yP516_LT1","G08",88.347,"CV1",-0.888,"0.5","No","Src/Syk/FAK","Src/Syk/FAK","D05","DMSO_0uM",1.049,0.84
"R406 (free base)_5","R406 (free base)",958,"D05","yP516_LT1","D08",83.962,"CV1",-1.181,"5","No","Src/Syk/FAK","Src/Syk/FAK","D05","DMSO_0uM",0.86,0.834
"R547_0.5","R547",1708,"D08","yP516_LT1","G06",100,"CV1",0.437,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D08","DMSO_0uM",2.845,0
"R547_5","R547",1600,"D08","yP516_LT1","D06",2.299,"LC",-10.417,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D08","DMSO_0uM",150,0
"RAF265 (CHIR-265)_0.5","RAF265 (CHIR-265)",1276,"D06","yP516_LT1","G06",88.506,"CV1",-0.697,"0.5","No","MAPK/ERK","MAPK/ERK","D06","DMSO_0uM",0.723,1
"RAF265 (CHIR-265)_5","RAF265 (CHIR-265)",1168,"D06","yP516_LT1","D06",82.111,"CV1",-1.092,"5","No","MAPK/ERK","MAPK/ERK","D06","DMSO_0uM",4.143,0
"Rapamycin (Sirolimus)_0.5","Rapamycin (Sirolimus)",172,"D01","yP516_LT1","F10",76.195,"CV2",-2.892,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D01","DMSO_0uM",4.174,0.189
"Rapamycin (Sirolimus)_5","Rapamycin (Sirolimus)",64,"D01","yP516_LT1","C10",98.067,"CV1",-0.773,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D01","DMSO_0uM",1.175,0.476
"Rebastinib (DCC-2036)_0.5","Rebastinib (DCC-2036)",1504,"D07","yP516_LT1","G10",94.085,"CV1",-0.781,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D07","DMSO_0uM",1.013,1
"Rebastinib (DCC-2036)_5","Rebastinib (DCC-2036)",1396,"D07","yP516_LT1","D10",95.746,"CV1",-0.603,"5","No","Bcr-Abl/BTK","B Cell Receptor","D07","DMSO_0uM",1.693,0.65
"Refametinib (RDEA119_ Bay 86-9766)_0.5","Refametinib (RDEA119_ Bay 86-9766)",346,"D02","yP516_LT1","E08",82.597,"CV1",-1.779,"0.5","No","MAPK/ERK","MAPK/ERK","D02","DMSO_0uM",1.056,0.637
"Refametinib (RDEA119_ Bay 86-9766)_5","Refametinib (RDEA119_ Bay 86-9766)",238,"D02","yP516_LT1","B08",38.032,"LC",-6.689,"5","Yes","MAPK/ERK","MAPK/ERK","D02","DMSO_0uM",16.196,0
"Ridaforolimus (Deforolimus_ MK-8669)_0.5","Ridaforolimus (Deforolimus_ MK-8669)",127,"D01","yP516_LT1","E07",62.674,"CV2",-4.202,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D01","DMSO_0uM",6.12,0
"Ridaforolimus (Deforolimus_ MK-8669)_5","Ridaforolimus (Deforolimus_ MK-8669)",19,"D01","yP516_LT1","B07",79.253,"CV2",-2.596,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D01","DMSO_0uM",2.679,0.168
"Rigosertib (ON-01910)_0.5","Rigosertib (ON-01910)",817,"D04","yP516_LT1","F09",100,"HI",1.511,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D04","DMSO_0uM",1.036,0.489
"Rigosertib (ON-01910)_5","Rigosertib (ON-01910)",709,"D04","yP516_LT1","C09",1.706,"LC",-7.049,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D04","DMSO_0uM",63.26,0
"RKI-1447_0.5","RKI-1447",2545,"D12","yP516_LT1","F09",85.234,"CV1",-2.032,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",2.814,0.154
"RKI-1447_5","RKI-1447",2437,"D12","yP516_LT1","C09",91.561,"CV1",-1.238,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",0.993,0.826
"RN486_0.5","RN486",2371,"D11","yP516_LT1","G11",95.069,"CV1",-0.434,"0.5","No","Bcr-Abl/BTK","B Cell Receptor","D11","DMSO_0uM",1.237,0.495
"RN486_5","RN486",2263,"D11","yP516_LT1","D11",83.732,"CV1",-1.627,"5","No","Bcr-Abl/BTK","B Cell Receptor","D11","DMSO_0uM",1.875,0.33
"Ro-3306_0.5","Ro-3306",2947,"D14","yP516_LT1","E11",93.959,"CV1",-0.53,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D14","DMSO_0uM",1.533,0.361
"Ro-3306_5","Ro-3306",2839,"D14","yP516_LT1","B11",93.101,"CV1",-0.594,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D14","DMSO_0uM",0.609,0.837
"Ro3280_0.5","Ro3280",2587,"D12","yP516_LT1","G11",6.063,"LC",-11.97,"0.5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",150,0
"Ro3280_5","Ro3280",2479,"D12","yP516_LT1","D11",15.035,"LC",-10.844,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",50.27,0
"Roscovitine (Seliciclib_CYC202)_0.5","Roscovitine (Seliciclib_CYC202)",598,"D03","yP516_LT1","F08",100,"CV1",0.667,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D03","DMSO_0uM",1.978,0.515
"Roscovitine (Seliciclib_CYC202)_5","Roscovitine (Seliciclib_CYC202)",490,"D03","yP516_LT1","C08",100,"CV1",0.452,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D03","DMSO_0uM",1.464,0.674
"Ruxolitinib (INCB018424)_0.5","Ruxolitinib (INCB018424)",784,"D04","yP516_LT1","E10",100,"HI",1.453,"0.5","No","JAK/STAT/Pim","JAK/STAT","D04","DMSO_0uM",1.56,0.523
"Ruxolitinib (INCB018424)_5","Ruxolitinib (INCB018424)",676,"D04","yP516_LT1","B10",86.53,"CV1",-1.326,"5","No","JAK/STAT/Pim","JAK/STAT","D04","DMSO_0uM",0.921,0.841
"S-Ruxolitinib (INCB018424)_0.5","S-Ruxolitinib (INCB018424)",2149,"D10","yP516_LT1","G09",92.688,"CV1",-0.623,"0.5","No","JAK/STAT/Pim","JAK/STAT","D10","DMSO_0uM",0.594,1
