Drug,X,VCFG_Compound_Plate_ID,Patient,Treatment,WellID,Perc_FC,Bin,ZScore,Dose,Group_CTG,Pathway_original,Target_original,Target ,Pathway
Degrasyn (WP1130),1381,D07,yPDB516_LT1,Degrasyn (WP1130)_5,D05,70.201,CV2,-3.348,5,No hit,Angiogenesis,Bcr-Abl DUB,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Degrasyn (WP1130),1383,D07,yPMK295_LT,Degrasyn (WP1130)_5,D05,78.649,CV2,-2.748,5,No hit,Angiogenesis,Bcr-Abl DUB,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Degrasyn (WP1130),1382,D07,yPJF520_LT1,Degrasyn (WP1130)_5,D05,63.251,CV2,-1.637,5,No hit,Angiogenesis,Bcr-Abl DUB,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1217,D06,yPJF520_LT1,NVP-BHG712_0.5,E10,88.752,CV1,-1.132,0.5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1216,D06,yPDB516_LT1,NVP-BHG712_0.5,E10,101.399,CV1,0.101,0.5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1218,D06,yPMK295_LT,NVP-BHG712_0.5,E10,109.165,CV1,0.396,0.5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1110,D06,yPMK295_LT,NVP-BHG712_5,B10,125.343,HI,1.61,5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1109,D06,yPJF520_LT1,NVP-BHG712_5,B10,92.159,CV1,-0.797,5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
NVP-BHG712,1108,D06,yPDB516_LT1,NVP-BHG712_5,B10,99.912,CV1,0.009,5,No hit,Angiogenesis,Bcr-Abl Ephrin receptor Raf Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),880,D05,yPDB516_LT1,Ponatinib (AP24534)_5,B06,43.304,LC,-3.897,5,Hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),988,D05,yPDB516_LT1,Ponatinib (AP24534)_0.5,E06,77.372,CV2,-1.621,0.5,No hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),990,D05,yPMK295_LT,Ponatinib (AP24534)_0.5,E06,109.177,CV1,0.25,0.5,No hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),989,D05,yPJF520_LT1,Ponatinib (AP24534)_0.5,E06,78.713,CV2,-0.679,0.5,No hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),881,D05,yPJF520_LT1,Ponatinib (AP24534)_5,B06,3.755,LC,-3.63,5,Hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ponatinib (AP24534),882,D05,yPMK295_LT,Ponatinib (AP24534)_5,B06,5.018,LC,-4.982,5,Hit,Angiogenesis,Bcr-Abl FGFR PDGFR VEGFR,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),81,D01,yPMK295_LT,Saracatinib (AZD0530)_5,D03,42.205,LC,-2.486,5,Hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),187,D01,yPDB516_LT1,Saracatinib (AZD0530)_0.5,G03,105.107,CV1,-0.091,0.5,No hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),188,D01,yPJF520_LT1,Saracatinib (AZD0530)_0.5,G03,147.052,HI,1.249,0.5,No hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),189,D01,yPMK295_LT,Saracatinib (AZD0530)_0.5,G03,76.735,CV2,-1.023,0.5,No hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),80,D01,yPJF520_LT1,Saracatinib (AZD0530)_5,D03,23.045,LC,-1.239,5,Hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Saracatinib (AZD0530),79,D01,yPDB516_LT1,Saracatinib (AZD0530)_5,D03,42.83,LC,-6.124,5,Hit,Angiogenesis,Bcr-Abl Src,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2398,D12,yPDB516_LT1,CC-292 (AVL-292)_5,B08,84.876,CV1,-2.077,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2507,D12,yPJF520_LT1,CC-292 (AVL-292)_0.5,E08,91.45,CV1,-0.25,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2400,D12,yPMK295_LT,CC-292 (AVL-292)_5,B08,96.329,CV1,-1.765,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2399,D12,yPJF520_LT1,CC-292 (AVL-292)_5,B08,97.951,CV1,0.277,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2508,D12,yPMK295_LT,CC-292 (AVL-292)_0.5,E08,112.716,CV1,1.852,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CC-292 (AVL-292),2506,D12,yPDB516_LT1,CC-292 (AVL-292)_0.5,E08,82.026,CV1,-2.434,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2298,D11,yPMK295_LT,CGI1746_0.5,E10,92.284,CV1,-1.078,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2190,D11,yPMK295_LT,CGI1746_5,B10,87.268,CV1,-1.822,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2297,D11,yPJF520_LT1,CGI1746_0.5,E10,78.009,CV2,-1.33,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2188,D11,yPDB516_LT1,CGI1746_5,B10,92.799,CV1,-0.673,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2189,D11,yPJF520_LT1,CGI1746_5,B10,96.037,CV1,-0.039,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CGI1746,2296,D11,yPDB516_LT1,CGI1746_0.5,E10,87.895,CV1,-1.189,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2743,D13,yPDB516_LT1,CNX-774_0.5,F03,73.882,CV2,-2.093,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2636,D13,yPJF520_LT1,CNX-774_5,C03,70.578,CV2,-1.823,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2744,D13,yPJF520_LT1,CNX-774_0.5,F03,170.858,HI,5.703,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2635,D13,yPDB516_LT1,CNX-774_5,C03,96.309,CV1,-0.452,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2745,D13,yPMK295_LT,CNX-774_0.5,F03,108.314,CV1,16.637,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
CNX-774,2637,D13,yPMK295_LT,CNX-774_5,C03,101.323,CV1,8.059,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1635,D08,yPMK295_LT,Ibrutinib (PCI-32765)_0.5,E05,95.451,CV1,-0.645,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1634,D08,yPJF520_LT1,Ibrutinib (PCI-32765)_0.5,E05,68.565,CV2,-2.755,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1527,D08,yPMK295_LT,Ibrutinib (PCI-32765)_5,B05,81.556,CV1,-2.685,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1525,D08,yPDB516_LT1,Ibrutinib (PCI-32765)_5,B05,47.975,LC,-5.576,5,Hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1633,D08,yPDB516_LT1,Ibrutinib (PCI-32765)_0.5,E05,106.24,CV1,0.598,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
Ibrutinib (PCI-32765),1526,D08,yPJF520_LT1,Ibrutinib (PCI-32765)_5,B05,79.586,CV2,-1.753,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2837,D14,yPJF520_LT1,LFM-A13_5,B10,139.385,HI,2.122,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2946,D14,yPMK295_LT,LFM-A13_0.5,E10,103.188,CV1,0.635,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2944,D14,yPDB516_LT1,LFM-A13_0.5,E10,107.128,CV1,0.443,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2838,D14,yPMK295_LT,LFM-A13_5,B10,94.848,CV1,-0.216,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2836,D14,yPDB516_LT1,LFM-A13_5,B10,94.933,CV1,-0.458,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
LFM-A13,2945,D14,yPJF520_LT1,LFM-A13_0.5,E10,87.107,CV1,-0.805,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3074,D15,yPJF520_LT1,ONO-4059 analogue_5,C05,40.766,LC,-2.374,5,Hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3183,D15,yPMK295_LT,ONO-4059 analogue_0.5,F05,113.71,CV1,2.277,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3075,D15,yPMK295_LT,ONO-4059 analogue_5,C05,105.432,CV1,0.912,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3182,D15,yPJF520_LT1,ONO-4059 analogue_0.5,F05,88.441,CV1,-0.452,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3073,D15,yPDB516_LT1,ONO-4059 analogue_5,C05,84.863,CV1,-1.027,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
ONO-4059 analogue,3181,D15,yPDB516_LT1,ONO-4059 analogue_0.5,F05,87.75,CV1,-0.903,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2265,D11,yPMK295_LT,RN486_5,D11,101.478,CV1,0.284,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2372,D11,yPJF520_LT1,RN486_0.5,G11,141.265,HI,3.202,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2264,D11,yPJF520_LT1,RN486_5,D11,93.554,CV1,-0.217,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2373,D11,yPMK295_LT,RN486_0.5,G11,99.539,CV1,-0.003,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2371,D11,yPDB516_LT1,RN486_0.5,G11,95.069,CV1,-0.434,0.5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
RN486,2263,D11,yPDB516_LT1,RN486_5,D11,83.732,CV1,-1.627,5,No hit,Angiogenesis,BTK,Bcr-Abl/BTK,B Cell Receptor Signalling Pathway
AR-A014418,2729,D13,yPJF520_LT1,AR-A014418_0.5,E10,110.237,CV1,1.153,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AR-A014418,2730,D13,yPMK295_LT,AR-A014418_0.5,E10,97.502,CV1,3.37,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AR-A014418,2620,D13,yPDB516_LT1,AR-A014418_5,B10,96.897,CV1,-0.409,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AR-A014418,2621,D13,yPJF520_LT1,AR-A014418_5,B10,78.66,CV2,-1.217,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AR-A014418,2728,D13,yPDB516_LT1,AR-A014418_0.5,E10,102.511,CV1,0.001,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AR-A014418,2622,D13,yPMK295_LT,AR-A014418_5,B10,95.547,CV1,0.972,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2573,D12,yPJF520_LT1,AZD1080_0.5,G06,76.547,CV2,-1.458,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2466,D12,yPMK295_LT,AZD1080_5,D06,125.396,HI,4.65,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2572,D12,yPDB516_LT1,AZD1080_0.5,G06,92.611,CV1,-1.106,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2465,D12,yPJF520_LT1,AZD1080_5,D06,66.298,CV2,-2.289,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2464,D12,yPDB516_LT1,AZD1080_5,D06,68.451,CV2,-4.139,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD1080,2574,D12,yPMK295_LT,AZD1080_0.5,G06,120.434,HI,3.555,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2708,D13,yPJF520_LT1,AZD2858_0.5,E03,107.71,CV1,0.964,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2600,D13,yPJF520_LT1,AZD2858_5,B03,27.151,LC,-5.083,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2707,D13,yPDB516_LT1,AZD2858_0.5,E03,93.572,CV1,-0.653,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2599,D13,yPDB516_LT1,AZD2858_5,B03,65.024,CV2,-2.741,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2709,D13,yPMK295_LT,AZD2858_0.5,E03,95.843,CV1,1.334,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
AZD2858,2601,D13,yPMK295_LT,AZD2858_5,B03,42.052,LC,-64.669,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2977,D14,yPDB516_LT1,Bikinin_0.5,F09,84.658,CV1,-1.218,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2871,D14,yPMK295_LT,Bikinin_5,C09,120.286,HI,2.38,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2978,D14,yPJF520_LT1,Bikinin_0.5,F09,84.596,CV1,-0.946,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2979,D14,yPMK295_LT,Bikinin_0.5,F09,107.834,CV1,1.109,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2869,D14,yPDB516_LT1,Bikinin_5,C09,99.322,CV1,-0.134,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Bikinin,2870,D14,yPJF520_LT1,Bikinin_5,C09,94.162,CV1,-0.41,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2474,D12,yPJF520_LT1,BIO_5,D09,85.425,CV1,-0.738,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2473,D12,yPDB516_LT1,BIO_5,D09,76.603,CV2,-3.115,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2583,D12,yPMK295_LT,BIO_0.5,G09,98.869,CV1,-1.204,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2581,D12,yPDB516_LT1,BIO_0.5,G09,91.499,CV1,-1.245,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2582,D12,yPJF520_LT1,BIO_0.5,G09,84.949,CV1,-0.777,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
BIO,2475,D12,yPMK295_LT,BIO_5,D09,114.997,CV1,2.355,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1847,D09,yPJF520_LT1,CHIR-98014_0.5,E04,81.315,CV1,-0.531,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1738,D09,yPDB516_LT1,CHIR-98014_5,B04,69.924,CV2,-2.518,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1739,D09,yPJF520_LT1,CHIR-98014_5,B04,46.406,LC,-1.647,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1846,D09,yPDB516_LT1,CHIR-98014_0.5,E04,68.589,CV2,-2.631,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1848,D09,yPMK295_LT,CHIR-98014_0.5,E04,88.704,CV1,-1.572,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-98014,1740,D09,yPMK295_LT,CHIR-98014_5,B04,56.513,CV2,-6.153,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),702,D04,yPMK295_LT,CHIR-99021 (CT99021)_5,C06,117.002,CV1,2.264,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),808,D04,yPDB516_LT1,CHIR-99021 (CT99021)_0.5,F06,96.613,CV1,-0.646,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),810,D04,yPMK295_LT,CHIR-99021 (CT99021)_0.5,F06,100.22,CV1,0.106,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),700,D04,yPDB516_LT1,CHIR-99021 (CT99021)_5,C06,25.117,LC,-5.47,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),809,D04,yPJF520_LT1,CHIR-99021 (CT99021)_0.5,F06,69.038,CV2,-0.282,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021),701,D04,yPJF520_LT1,CHIR-99021 (CT99021)_5,C06,17.171,LC,-1.461,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2013,D10,yPMK295_LT,CHIR-99021 (CT99021) HCl_5,C11,104.532,CV1,2.068,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2012,D10,yPJF520_LT1,CHIR-99021 (CT99021) HCl_5,C11,77.855,CV2,-1.296,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2011,D10,yPDB516_LT1,CHIR-99021 (CT99021) HCl_5,C11,74.407,CV2,-2.067,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2120,D10,yPJF520_LT1,CHIR-99021 (CT99021) HCl_0.5,F11,98.466,CV1,-0.206,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2119,D10,yPDB516_LT1,CHIR-99021 (CT99021) HCl_0.5,F11,96.612,CV1,-0.313,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
CHIR-99021 (CT99021) HCl,2121,D10,yPMK295_LT,CHIR-99021 (CT99021) HCl_0.5,F11,99.756,CV1,0.712,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2825,D14,yPJF520_LT1,IM-12_5,B06,41.41,LC,-3.364,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2826,D14,yPMK295_LT,IM-12_5,B06,90.524,CV1,-0.657,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2933,D14,yPJF520_LT1,IM-12_0.5,E06,41.19,LC,-3.376,0.5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2934,D14,yPMK295_LT,IM-12_0.5,E06,118.106,CV1,2.158,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2932,D14,yPDB516_LT1,IM-12_0.5,E06,108.514,CV1,0.546,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
IM-12,2824,D14,yPDB516_LT1,IM-12_5,B06,104.78,CV1,0.269,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1425,D07,yPMK295_LT,Indirubin_0.5,E07,88.361,CV1,-1.612,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1424,D07,yPJF520_LT1,Indirubin_0.5,E07,55.003,CV2,-2.041,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1315,D07,yPDB516_LT1,Indirubin_5,B07,63.445,CV2,-4.074,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1316,D07,yPJF520_LT1,Indirubin_5,B07,117.003,CV1,0.994,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1317,D07,yPMK295_LT,Indirubin_5,B07,72.745,CV2,-3.439,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
Indirubin,1423,D07,yPDB516_LT1,Indirubin_0.5,E07,73.926,CV2,-2.948,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2261,D11,yPJF520_LT1,LY2090314_5,D10,61.145,CV2,-2.539,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2368,D11,yPDB516_LT1,LY2090314_0.5,G10,83.761,CV1,-1.624,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2260,D11,yPDB516_LT1,LY2090314_5,D10,56.204,CV2,-4.522,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2262,D11,yPMK295_LT,LY2090314_5,D10,38.889,LC,-8.993,5,Hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2369,D11,yPJF520_LT1,LY2090314_0.5,G10,94.976,CV1,-0.115,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
LY2090314,2370,D11,yPMK295_LT,LY2090314_0.5,G10,104.884,CV1,0.789,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,341,D02,yPJF520_LT1,SB216763_0.5,E06,129.889,HI,0.653,0.5,No hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,340,D02,yPDB516_LT1,SB216763_0.5,E06,125.813,HI,2.984,0.5,No hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,342,D02,yPMK295_LT,SB216763_0.5,E06,101.979,CV1,0.347,0.5,No hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,233,D02,yPJF520_LT1,SB216763_5,B06,36.058,LC,-1.967,5,Hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,232,D02,yPDB516_LT1,SB216763_5,B06,102.755,CV1,0.443,5,No hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB216763,234,D02,yPMK295_LT,SB216763_5,B06,121.34,HI,2.225,5,No hit,Others,GSK-3,GSK-3,Wnt Signalling Pathway
SB415286,1689,D08,yPMK295_LT,SB415286_0.5,F11,138.645,HI,5.695,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
SB415286,1581,D08,yPMK295_LT,SB415286_5,C11,117.434,CV1,2.582,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
SB415286,1688,D08,yPJF520_LT1,SB415286_0.5,F11,106.475,CV1,0.691,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
SB415286,1687,D08,yPDB516_LT1,SB415286_0.5,F11,101.282,CV1,0.073,0.5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
SB415286,1579,D08,yPDB516_LT1,SB415286_5,C11,111.349,CV1,1.139,5,No hit,PI3K Akt mTOR,GSK-3,GSK-3,Wnt Signalling Pathway
